ÜRÜN NO;DIÞ ÇAP;YÜKSEKLÝK
543;71,4010;5,8090
544;71,4510;5,8240
545;71,5010;5,8600
546;71,4450;5,8890
547;71,5630;5,8780
548;71,5110;5,8160
549;71,4060;5,8640
550;71,4790;5,8130
551;71,4740;5,8480
552;71,5090;5,9100
553;71,4660;5,8320
554;71,4850;5,8270
555;71,4880;5,8150
556;71,4030;5,8320
557;71,4560;5,8090
558;71,4920;5,7940
559;71,4820;5,8750
560;71,5000;5,8410
561;71,4280;5,8420
562;71,4350;5,8650
563;71,4730;5,8350
564;71,4140;5,8670
565;71,4290;5,8400
566;71,4580;5,8520
567;71,4790;5,8290
568;71,4270;5,8670
569;71,4650;5,8460
570;71,5040;5,8150
571;71,4130;5,8410
572;71,4640;5,8640
573;71,4640;5,8500
574;71,5080;5,8230
575;71,4830;5,8200
576;71,5140;5,8100
577;71,4710;5,8720
578;71,3710;5,8350
579;71,5920;5,8210
580;71,5170;5,8580
581;71,4450;5,8330
582;71,5000;5,8430
583;71,4320;5,8160
584;71,3700;5,9240
585;71,3860;5,8340
586;71,5230;5,8980
587;71,4350;5,8500
588;71,5470;5,8110
589;71,5000;5,8400
590;71,5710;5,8830
591;71,5190;5,8420
592;71,5290;5,8090
593;71,4360;5,8370
594;71,4890;5,8160
595;71,5200;5,8330
596;71,3820;5,8830
597;71,3940;5,8140
598;71,4090;5,8540
599;71,4380;5,8770
600;71,4070;5,8110
601;71,5070;5,9170
602;71,4380;5,8340
603;71,4660;5,8310
604;71,4070;5,8370
605;71,1980;5,8090
606;71,4600;5,8660
607;71,4680;5,8180
608;71,2360;5,8300
609;71,4360;5,8580
610;71,4790;5,8630
611;71,5400;5,8200
612;71,4370;5,8290
613;71,4710;5,8400
614;71,4820;5,8250
615;71,4460;5,8460
616;71,4870;5,8410
617;71,4450;5,8670
618;71,4250;5,8420
619;71,5110;5,8300
620;71,5820;5,8790
621;71,5430;5,8580
622;71,4290;5,8180
623;71,4850;5,8930
624;71,4240;5,8320
625;71,4770;5,8560
626;71,4820;5,8610
627;71,5490;5,8480
628;71,5250;5,8470
629;71,5430;5,8470
630;71,3880;5,9640
631;71,3740;5,8080
632;71,4350;5,8710
633;71,5010;5,8460
634;71,4760;5,8450
635;71,3340;5,8370
636;71,4480;5,8350
637;71,6170;5,8650
638;71,4710;5,8730
639;71,4010;5,8590
640;71,4940;5,8330
641;71,4560;5,8970
642;71,3760;5,8110
643;71,4500;5,8650
644;71,5280;5,8660
645;71,4830;5,8990
646;71,5090;5,9580
647;71,4720;5,8720
648;71,3840;5,8050
649;71,4580;5,8280
650;71,4400;5,8330
651;71,4410;5,8330
652;71,4990;5,8270
653;71,4350;5,8370
654;71,4490;5,8410
655;71,4160;5,8230
656;71,5590;5,8600
657;71,4740;5,8430
658;71,4760;5,8290
659;71,5210;5,8270
660;71,4760;5,8390
661;71,4590;5,8360
662;71,4560;5,8430
663;71,5310;5,8410
664;71,4850;5,8190
665;71,3970;5,8450
666;71,4180;5,8240
667;71,5600;5,8400
668;71,4800;5,8110
669;71,4960;5,8400
670;70,7340;5,8310
671;71,4390;5,7970
672;71,4000;5,8680
673;71,3770;5,8420
674;71,4880;5,8780
675;71,4280;5,9490
676;71,4920;5,8430
677;71,5110;5,8260
678;71,4010;5,8550
679;71,5370;5,8220
680;71,4990;5,8910
681;71,3610;5,8540
682;71,3990;5,8740
683;71,4670;5,8550
684;71,5150;5,7260
685;71,4220;5,8440
686;71,4010;5,8110
687;71,4610;5,8260
688;71,4720;5,8710
689;71,4830;5,8890
690;71,5150;5,8320
691;71,4960;5,8520
692;71,5190;5,8250
693;71,4960;5,8360
694;71,4650;5,8680
695;71,4940;5,8310
696;71,3660;5,8260
697;71,4260;5,8480
698;71,5440;5,8870
699;71,5240;5,8240
700;71,4060;5,8150
701;71,4530;5,8870
702;71,4370;5,7890
703;71,4110;5,8220
704;71,3850;5,8410
705;71,4030;5,8890
706;71,4560;5,8790
707;71,4060;5,8550
708;71,5240;5,8160
709;71,4590;5,8570
710;71,4650;5,8730
711;71,4900;5,8120
712;71,4830;5,8340
713;71,4610;5,8360
714;71,4580;5,8540
715;71,4470;5,8200
716;71,5240;5,8580
717;71,3660;5,8300
718;71,5020;5,8620
719;71,4970;5,8580
720;71,3870;5,8400
721;71,4160;5,8380
722;71,5070;5,8670
723;71,5810;5,8300
724;71,5700;5,8470
725;71,8320;5,8280
726;71,4670;5,8520
727;71,4360;5,8260
728;71,4920;5,8380
729;71,4630;5,8150
730;71,4570;5,8120
731;71,2900;5,8770
732;71,4880;5,8470
733;71,3620;5,8370
734;71,4810;5,8750
735;71,5340;5,8170
736;71,4350;5,8090
737;71,4130;5,8450
738;71,4750;5,8480
739;71,5010;5,8290
740;71,4520;5,9460
741;71,4130;5,8830
742;71,4370;5,8710
743;71,5240;5,8600
744;71,4940;5,8870
745;71,4780;5,8940
746;71,4670;5,8700
747;71,4990;5,8150
748;71,4370;5,8410
749;71,5120;5,8190
750;71,5120;5,8440
751;72,0310;5,8350
752;71,4760;5,8470
753;71,4280;5,8560
754;71,4340;5,8160
755;71,3690;5,8510
756;71,3610;5,8110
757;71,4530;5,8550
758;71,5240;5,8470
759;71,4010;5,8170
760;71,4530;5,8420
761;71,3950;5,8450
762;71,5340;5,8520
763;71,5320;5,7980
764;71,4310;5,8400
765;71,4790;5,8500
766;71,5030;5,8260
767;71,4080;5,8570
768;71,4420;5,8070
769;71,4510;5,8350
770;71,4750;5,8260
771;71,4670;5,8390
772;71,4830;5,8130
